Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
CW906,Business,,,177,,,
CW908,Business (options),272  ,,280,,307.0,260
CW917,Business (options),,,224,,,
CW936,Accounting,,,231,,,
CW938,Business with Law                                 ,270  ,,283,,288.0,270
CW948,Accounting,319  ,,300,,408.0,301
DB500,Computing,234  ,234,218,218,320.0,242
DB501,Computing (Cloud Computing)                          ,,178,227,227,329.0,326
DB502,Computing (Data Analytics and Big Data),267  ,233,341,341,269.0,269
DB503,Computing (Software Development),,,225,225,282.0,242
DB504,Computing (Web and Mobile Technology),,,,281,269.0,227
DB510,Audio Production and Music Project Management     ,217  ,217,234,223,293.0,233
DB512,Business Studies                                  ,243  ,210,218,203,301.0,229
DB514,Business Studies (Law)                            ,239  ,225,252,,337.0,269
DB515,Business Studies (Human Resource Management),242  ,217,244,244,288.0,225
DB516,Financial Services,,,,,336.0,328
DB517,Marketing (Event Management)                      ,233  ,225,238,,327.0,226
DB518,Marketing (Digital Media)                         ,307  ,209,,,289.0,210
DB521,Accounting and Finance,243  ,228,225,195,271.0,225
DB524,Business (Information Systems),247  ,239,342,309,402.0,402
DB525,Marketing (Digital Media and Cloud Computing)     ,288  ,288,,,309.0,284
DB526,Business (Cloud Computing)                        ,244  ,244,347,,288.0,253
DB527,Applied Social Care                               ,254  ,219,234,260,288.0,235
DB531,Marketing,288  ,176,293,,288.0,220
DB562,Psychology                                        ,244  ,233,243,229,310.0,208
DB563,Arts,,,161,189,,
DB566,Social Science,262  ,228,220,227,308.0,216
DB567,Film and Creative Media,245  ,213,218,202,295.0,192
DB568,Law,254  ,228,219,252,308.0,245
DB569,Business (Psychology)                             ,240  ,240,252,,338.0,279
DB571,Business Studies,,,173,211,,
DB572,Business in Accounting,,,119,117,,
DB573,Business in Marketing,,,117,146,,
DB574,Business in Information Technology,,,136,388,,
DC001,Education - Early Childhood Education,445  ,,440,,424.0,398
DC002,Education - Primary Teaching                      ,518* ,,488,,485.0,462*
